"Date","Open","High","Low","Close"
"Fri Mar 21 2003 00:00:00 GMT+0530 (India Standard Time)","1025.50","1033.70","1022.00","1030.50"
"Sat Mar 22 2003 00:00:00 GMT+0530 (India Standard Time)","1030.50","1039.80","1030.50","1037.10"
"Mon Mar 24 2003 00:00:00 GMT+0530 (India Standard Time)","1037.10","1038.50","1011.90","1013.90"
"Tue Mar 25 2003 00:00:00 GMT+0530 (India Standard Time)","1013.50","1013.50","998.40","1011.30"
"Wed Mar 26 2003 00:00:00 GMT+0530 (India Standard Time)","1011.50","1019.90","1004.80","1013.80"
"Thu Mar 27 2003 00:00:00 GMT+0530 (India Standard Time)","1013.90","1013.90","999.60","1002.70"
"Fri Mar 28 2003 00:00:00 GMT+0530 (India Standard Time)","1002.80","1006.30","996.70","1000.60"
"Mon Mar 31 2003 00:00:00 GMT+0530 (India Standard Time)","1000.60","1000.60","974.10","978.20"
"Tue Apr 01 2003 00:00:00 GMT+0530 (India Standard Time)","977.40","992.00","973.50","984.30"
"Wed Apr 02 2003 00:00:00 GMT+0530 (India Standard Time)","984.40","1002.10","984.40","999.40"
"Thu Apr 03 2003 00:00:00 GMT+0530 (India Standard Time)","999.50","1010.70","999.50","1009.10"
"Fri Apr 04 2003 00:00:00 GMT+0530 (India Standard Time)","1009.10","1018.20","1002.70","1016.90"
"Mon Apr 07 2003 00:00:00 GMT+0530 (India Standard Time)","1017.00","1033.40","1017.00","1031.50"
"Tue Apr 08 2003 00:00:00 GMT+0530 (India Standard Time)","1032.00","1032.00","1016.60","1018.10"
"Wed Apr 09 2003 00:00:00 GMT+0530 (India Standard Time)","1018.00","1018.00","1002.30","1004.80"
"Thu Apr 10 2003 00:00:00 GMT+0530 (India Standard Time)","1003.80","1003.80","958.20","962.20"
"Fri Apr 11 2003 00:00:00 GMT+0530 (India Standard Time)","958.90","965.10","935.70","949.80"
"Tue Apr 15 2003 00:00:00 GMT+0530 (India Standard Time)","951.80","964.20","938.80","951.20"
"Wed Apr 16 2003 00:00:00 GMT+0530 (India Standard Time)","950.60","961.70","949.00","958.60"
"Thu Apr 17 2003 00:00:00 GMT+0530 (India Standard Time)","958.60","958.60","936.70","940.70"
"Mon Apr 21 2003 00:00:00 GMT+0530 (India Standard Time)","941.50","949.70","941.50","947.20"
"Tue Apr 22 2003 00:00:00 GMT+0530 (India Standard Time)","947.10","951.40","937.80","943.50"
"Wed Apr 23 2003 00:00:00 GMT+0530 (India Standard Time)","943.70","951.20","931.50","934.20"
"Thu Apr 24 2003 00:00:00 GMT+0530 (India Standard Time)","934.20","943.10","927.80","929.70"
"Fri Apr 25 2003 00:00:00 GMT+0530 (India Standard Time)","929.40","931.30","921.10","924.30"
"Mon Apr 28 2003 00:00:00 GMT+0530 (India Standard Time)","922.80","931.00","920.00","929.50"
"Tue Apr 29 2003 00:00:00 GMT+0530 (India Standard Time)","929.70","936.90","929.70","932.30"
"Wed Apr 30 2003 00:00:00 GMT+0530 (India Standard Time)","935.20","935.50","929.80","934.00"
"Fri May 02 2003 00:00:00 GMT+0530 (India Standard Time)","930.90","940.20","930.80","938.30"
"Mon May 05 2003 00:00:00 GMT+0530 (India Standard Time)","937.40","948.90","936.60","945.40"
"Tue May 06 2003 00:00:00 GMT+0530 (India Standard Time)","945.80","955.00","943.20","951.80"
"Wed May 07 2003 00:00:00 GMT+0530 (India Standard Time)","950.40","956.60","948.90","950.10"
"Thu May 08 2003 00:00:00 GMT+0530 (India Standard Time)","950.10","951.30","938.70","941.50"
"Fri May 09 2003 00:00:00 GMT+0530 (India Standard Time)","941.60","941.60","935.80","937.80"
"Mon May 12 2003 00:00:00 GMT+0530 (India Standard Time)","938.50","944.40","934.00","936.00"
"Tue May 13 2003 00:00:00 GMT+0530 (India Standard Time)","936.90","945.80","936.70","944.20"
"Wed May 14 2003 00:00:00 GMT+0530 (India Standard Time)","944.20","953.40","943.10","952.10"
"Thu May 15 2003 00:00:00 GMT+0530 (India Standard Time)","952.10","961.60","951.10","959.80"
"Fri May 16 2003 00:00:00 GMT+0530 (India Standard Time)","959.80","974.40","959.80","973.10"
